2023-02-01 14:56:33,979 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-01 14:56:33,979 | MainThread   | [INFO    ] | <module>            |: info
2023-02-01 14:56:33,981 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-01 14:56:33,983 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-01 14:56:33,986 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-01 14:57:07,497 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 14:57:07,498 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 14:57:07,498 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 14:57:23,033 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 14:58:10,953 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:04:01,232 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:04:03,843 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 15:04:31,649 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 15:32:41,490 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:32:46,467 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 15:36:42,624 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 15:37:18,959 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:37:21,564 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 15:44:26,664 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 15:45:26,392 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:45:28,914 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 15:47:57,467 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 15:49:47,191 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:49:50,193 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 15:50:03,320 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 15:50:07,786 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 15:50:10,383 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:03:53,330 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:04:17,093 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:04:21,673 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:04:26,579 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:04:31,537 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:04:34,176 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:18:12,087 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-01 16:20:28,346 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 16:20:28,351 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:20:28,353 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 16:21:07,089 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 16:21:07,089 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 16:21:07,089 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 16:21:10,074 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 16:30:59,667 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 16:30:59,673 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 16:30:59,674 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 16:31:07,332 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 16:31:07,333 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 16:31:07,333 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
